	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
0	NAM	-2.2231679153007288e-11	inf	-4.598941555213446e-13	inf	-4.594485500251639e-13	inf	-inf	inf	0.0	0.0	2.7907257310776e-310	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	7.4e-323	4e-323	50.0
1	NaMN	8.20738786592812e-14	inf	7.434105852934697e-14	-inf	7.434164754940032e-14	inf	inf	-inf	-1.46687032916237e-310	0.0	0.0	1.3773652560553e-311	0.0	0.0	0.0	0.0	0.0	1.3773698106133e-311	2e-323	50.0
2	NMN	4.347117549026119e-16	-inf	3.937541705415542e-16	-inf	3.93757290339769e-16	inf	inf	-inf	6.9519498617786e-310	0.0	0.0	0.0	1.377365256344e-311	0.0	0.0	2.1219957905e-314	0.0	0.0	1.123265247439938e-307	50.0
3		4.303034261669982e-13	-inf	3.89761184832735e-13	-inf	3.8976427299368427e-13	-inf	inf	-inf	0.0	7.4e-323	7.4e-323	0.0	0.0	1.3773663847226e-311	1.3773716225536e-311	1.3773362053195e-311	-1.5018660826075414e-154	0.0	0.0	50.0
4	NAD	1.096605775664801	inf	-0.0002323007084356	inf	-0.0002549855640969	inf	-inf	inf	0.0	0.0	6.9519498617786e-310	0.0	6.95194986205886e-310	0.0	0.0	0.0	6.95194987012043e-310	0.0	3.5e-323	50.0
5	NaAD	-1.1040644499745729	-inf	0.0002546679717552	-inf	0.0002546411018847	-inf	inf	-inf	1.3773652560553e-311	5e-324	0.0	7.4e-323	0.0	0.0	0.0	0.0	0.0	7.4e-323	7.4e-323	50.0
6	NR	2.2425014065112563e-06		-2.074848422500515e-05		2.0743268575559222e-06		-inf	-inf	0.0	1.377366384865e-311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95194986536514e-310	50.0
7	NAR	-1.0281883094251292e-20	-inf	-9.313146708647724e-21	inf	-9.313220498694299e-21	-inf	-inf	inf	6.95194986205886e-310	0.0	1.3773652562134e-311	0.0	6.32449361086873e-310	0.0	7.4e-323	0.0	1.377365256664e-311	5e-324	0.0	50.0
8	NAM	-3.855873934493293e-05	1.0008349662809837	-0.0001121750539219	inf	-0.000112186501395	1.000834936385181	-0.0001120376777748	inf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0
9	NaMN	2.975615739408418e-11	1.7989472398754577e-12	1.2324575236227168e-10	-inf	1.2325184086155668e-10	1.7978217523704608e-12	1.2595437411799359e-10	inf	-5.447692728667e-312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0
