	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
0	NAM	-0.9117078212284782	1.7609387121724007	1.2735364004503285	0.955731110805516	1.2736234239865756	1.0007883316685948	inf	1.7579261361456484	0.0	0.0	2.6820795465802e-310	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	7.4e-323	0.0	50.0
1	NaMN	-1.988762179412144e-09	4.050236548235982e-07	4.829718472380298e-07	-1.000039069346784	4.830021711097471e-07	1.1323701617984573e-07	inf	-1.550147358471306e-06	-1.1951278508582e-310	0.0	0.0	1.2025810150405e-311	0.0	0.0	0.0	0.0	0.0	0.0	1.5e-323	50.0
2	NMN	0.0097183817498419	-0.9534529196200776	0.0347022762260277	0.0004355018682512	0.0346946283111605	0.0004949347276084	inf	-0.9518121474520987	6.9519498617786e-310	0.0	0.0	0.0	1.202581015329e-311	0.0	0.0	2.1219957905e-314	0.0	0.0	9.007578615892011e-308	50.0
3		0.0022933535634103	-0.0533169331366456	0.0081876086144893	0.000109453346965	0.0081872889078704	-1.0471028221947485	inf	-0.0532275582314884	0.0	7.4e-323	7.4e-323	0.0	0.0	1.2025632245667e-311	1.2025450937646e-311	1.202576879711e-311	-1.2494507196886e-310	0.0	0.0	50.0
4	NAD	0.8923250310455367	-0.7479904840513462	-1.3056415078775636	0.0433658512934686	-1.3057199161307502	0.0454440516745978	-inf	-0.7467166345291435	0.0	0.0	6.9519498617786e-310	0.0	6.95194986205886e-310	0.0	0.0	0.0	6.9519498617786e-310	0.0	0.0	50.0
5	NaAD	-1.9042625909471096e-06	1.587559451887654e-06	2.9347591702476497e-06	-9.2545056130506e-08	2.772117289885309e-06	-9.697969302018893e-08	inf	1.584855380109802e-06	1.2025810150405e-311	5e-324	0.0	7.4e-323	0.0	0.0	0.0	0.0	0.0	7.4e-323	7.4e-323	50.0
6	NR	-2.722597840235048e-06	-7.119991268730712e-06	0.0001646743585279	-1.3268077110922324e-07	-1.1547145677941012e-05	-1.386556161272784e-07	-inf	-7.108277657569407e-06	0.0	1.2025632242347e-311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9519498617786e-310	50.0
7	NAR	-5.766179945304465e-09	-1.27892305985802e-08	-2.0584079314858372e-08	-2.247441482198048e-10	-2.0585325644854745e-08	-2.9365822530362455e-10	-inf	1.0000012594923209	6.95194986205886e-310	0.0	1.2025810151987e-311	0.0	6.32449361086873e-310	0.0	7.4e-323	0.0	1.202581015649e-311	5e-324	0.0	50.0
8	NAM	-1.000006423011505	3.656658366995306e-07	1.99431766051275e-07	2.0000489607045841e-07	1.9994887116112768e-07	1.998582106967027e-07	inf	3.15217734472059e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4e-323	4e-323	50.0
9	NaMN	-5.903268184932676e-08	4.0924984825944175e-08	2.2321928393004623e-08	-1.0000045395476285	2.2379806345420853e-08	2.236655468291407e-08		4.667734466113279e-08	-1.292318463250926e-231	4e-323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2025851662987e-311	6.384815116218034e+20	50.0
10	NMN	0.0114788011908393	-0.9878260241100856	0.0115189855914184	0.0104140760603877	0.0114635890256464	0.011480500319669	inf	-0.986855487241484	-1.000006423011505	-5.903268184932676e-08	0.0114788011908393	0.0	0.0	0.0	0.0	0.0	0.0	9.27923374638954e+199	1.3464245103976427e-307	50.0
11		1.4276574162985804e-05	-0.0002857930920922	1.4276882441949868e-05	1.395683706908548e-05	1.4276839816331268e-05	-1.0001404421854434	inf	-0.0002853567693181	3.656658366995306e-07	4.0924984825944175e-08	-0.9878260241100856	-0.0002857930920922	0.0	0.0	0.0	0.0	-1.4967667405115632e-154	1.0635294425628266e-94	3.483440164960454e+228	50.0
