temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway
50.0	2.1748076028859298e-08	2.174807850100376e-08	2.17480760288593e-08	2.1748076028859294e-08	2.1116581984904747e-08	4.555034335564208e-19	-1.773938621146084e-10	1.225662295758507e-13	9.458956764166265e-11	9.33333393843411e-11	1.2540578564080196e-12	1.2093231615293133e-13	1.6248672845586528e-15	1.7613763471445897e-10	8.47251994773794e-16	2.5684784022424952e-20	2.1704009135289812e-15	4.541001814382723e-10	PNCA
50.0	2.174752337479372e-08	2.174752446821383e-08	2.174752337479371e-08	2.1747523374793716e-08	2.1116959948416494e-08	2.398156630681443e-19	-1.7647802083319692e-10	1.1386521105130401e-13	1.0224428669592509e-10	1.0189817088162697e-10	3.2779906176815346e-13	1.1349883469714789e-13	3.650803453758985e-16	1.761319061129639e-10	7.281534222952407e-16	1.863222705315495e-19	1.8316752529957702e-14	4.5408540468977437e-10	PNCA
50.0	2.1994945160120046e-08	2.1995333713362952e-08	2.199494516012004e-08	2.1994945160120046e-08	2.111874160330316e-08	3.6041278756229162e-19	-4.2209527111351636e-10	3.9523305049062687e-13	2.508455449806613e-10	4.891016521745102e-12	2.4590280800514193e-10	7.710050548038658e-15	3.875222610754286e-13	1.7614074263251076e-10	1.0302428641682466e-15	7.444419733516943e-19	5.1720453774346414e-14	4.5410828608586957e-10	PNCA
50.0	2.1797105100990226e-08	2.1797181306029806e-08	2.1797105100990226e-08	2.1797105100990233e-08	2.111915633590212e-08	3.1364391032974213e-19	-2.238386681933508e-10	1.4911155098325092e-13	9.459161581289333e-11	4.689441640148426e-11	4.768275758604442e-11	7.393716662229956e-14	7.517408397420566e-14	1.7614146946776e-10	1.0307496101831515e-15	2.0795263864127182e-19	1.44418253646365e-14	4.5411009652258407e-10	PNCA
50.0	2.1837321423908576e-08	2.183747225489166e-08	2.1837321423908576e-08	2.1837321423908576e-08	2.1117934702576107e-08	1.5413574935705786e-19	-2.652838045628397e-10	1.5887887512739743e-13	9.459012447582579e-11	5.4449972962207244e-12	8.914213599613457e-11	9.146147887053731e-15	1.4973259864386618e-13	1.761386772647251e-10	1.0982673971539929e-15	4.5889360613899914e-20	2.991183470484346e-15	4.5410291704227333e-10	PNCA
50.0	2.17552093625126e-08	2.1755219034994487e-08	2.1755209362512597e-08	2.1755209362512594e-08	2.1118912534379892e-08	1.9510725238514636e-20	-1.8219878177103303e-10	2.0811912729817544e-11	1.3744523378750572e-08	1.3738461398783462e-08	5.7411734902472924e-12	2.0803223621836604e-11	8.677984153563173e-15	1.7613680207527933e-10	9.900688021798102e-16	4.428892821110225e-18	3.208064768625257e-13	4.5409804610982315e-10	PNCA
50.0	2.229756594631966e-08	2.229757462853293e-08	2.2297565946319664e-08	2.2297565946319667e-08	2.1662329345271155e-08	1.4764998147322566e-18	-1.8113473472440443e-10	1.4553843439084016e-13	9.458991405975998e-11	8.959346131695316e-11	4.988704119865345e-12	1.3786221798996985e-13	7.676053153031765e-15	1.7613828330662357e-10	1.0060500211871937e-15	1.0889560623971218e-19	7.748622941490155e-15	4.5410186647558195e-10	PNCA
50.0	2.2715114008570645e-08	2.2715269460322267e-08	2.2715114008570635e-08	2.2715114008570642e-08	2.206475371013425e-08	5.514364792547404e-20	-1.9631293809535213e-10	7.078592256152901e-13	9.457856240260034e-11	7.438265399433255e-11	2.010432241202356e-11	5.573006245021491e-13	1.5055230663083664e-13	1.7611702982340936e-10	4.8931809164895715e-15	6.2641505418574616e-18	9.15859962442467e-14	4.540473602598541e-10	PNCA
50.0	2.171747645896271e-08	2.1717481301819494e-08	2.1717476458962706e-08	2.1717476458962703e-08	2.108692098979197e-08	1.2719012494072155e-17	-1.7661293835681788e-10	3.8620477383251453e-13	9.455688142638104e-11	9.402036749621618e-11	5.320182523635388e-13	3.8403080171034883e-13	2.1730004365321248e-15	1.7607643703770287e-10	2.66968845790751e-15	1.6771197768649688e-19	4.495677801358549e-15	4.5394253092188425e-10	PNCA
50.0	2.183477250865765e-08	2.183529025957585e-08	2.1834772508657655e-08	2.183477250865765e-08	2.1118076550067926e-08	2.5169276465241763e-19	-2.626407408305088e-10	5.617437744437263e-13	9.45801888277503e-11	8.059522704858405e-12	8.651024820577597e-11	4.78759856616696e-14	5.138672102587785e-13	1.7612007494534653e-10	3.883130578364534e-15	5.651969816782861e-19	1.0417917115926713e-14	4.5405521777317875e-10	PNCA
