temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway
50.0	4.6868961145798425e-09	4.687062893621597e-09	4.686896114579794e-09	4.686896114579843e-09	4.446718800866197e-09	2.681818442874132e-18	-6.889430312118894e-11	2.3122406042583417e-12	3.5799380746932034e-11	3.3342799275460454e-11	2.3265768485022265e-12	2.1614455336419954e-12	1.5071815570960674e-13	6.643772439239165e-11	1.5983965571559375e-14	7.692047069766893e-17	1.3000462296935015e-13	1.7128301053159987e-10	PNCA
50.0	4.580606818678002e-09	4.5806129708261336e-09	4.580606818678002e-09	4.580606818678002e-09	4.349313950651001e-09	2.6819880109669713e-18	-6.469388964877973e-11	6.936425443876813e-13	3.497432676288653e-11	3.490100236548454e-11	6.944400664674557e-14	6.922647395051625e-13	1.3773993651414086e-15	6.4620567933406e-11	4.774045815646234e-15	7.029690329230175e-19	3.880390755260113e-15	1.6659897837818084e-10	PNCA
50.0	4.6082766212761345e-09	4.608401366457199e-09	4.608276621276137e-09	4.6082766212761345e-09	4.3523129056540354e-09	2.681983664184874e-18	-8.927718493263587e-11	1.7480616895995824e-13	3.484060011789742e-11	1.0218236497295287e-11	2.4621614581886447e-11	5.1269297073803793e-14	1.2353674054213293e-13	6.465482404241856e-11	1.2083667344030876e-15	3.432570903018013e-20	7.490387156887173e-16	1.6668653064106107e-10	PNCA
50.0	4.581014709217549e-09	4.581018897209901e-09	4.5810147092175436e-09	4.581014709217549e-09	4.349755579601318e-09	5.974500865616586e-16	-6.473455596101697e-11	3.8000392714029595e-13	3.480681526589436e-11	3.466366492913987e-11	1.4299472365517346e-13	3.784427575180853e-13	1.5611526143225658e-15	6.459200300997106e-11	2.6268241683253493e-15	1.5516978023615855e-20	1.5561309933135244e-16	1.6652457371959262e-10	PNCA
50.0	4.586215317482162e-09	4.586248839015452e-09	4.586215317482164e-09	4.586215317482162e-09	4.355099582511238e-09	2.4601600860030707e-15	-6.459145697757194e-11	4.774258249563154e-12	3.480576539572423e-11	3.480189909709092e-11	3.771092675894244e-15	4.773752597681167e-12	5.172779556758565e-16	6.459005083933551e-11	3.3004136087356265e-14	1.1927695267858975e-19	9.520595740318026e-17	1.665242779930411e-10	PNCA
50.0	4.58899176575277e-09	4.589082876879129e-09	4.588991765752771e-09	4.58899176575277e-09	4.35719756116852e-09	4.241479791322846e-17	-6.502711776532025e-11	1.6074074026639376e-11	1.0305243393253135e-10	1.0270899465900881e-10	3.4315929565123745e-13	1.6020547446749598e-11	5.352591132025685e-14	6.468372090654498e-11	3.7584815185758164e-14	3.988665840550373e-19	2.7997787131343867e-16	1.6676708681898071e-10	PNCA
50.0	4.591191369997767e-09	4.591210103243811e-09	4.591191369997757e-09	4.591191369997767e-09	4.359852103387366e-09	2.2915616110423073e-17	-6.475375349627791e-11	1.7433494175105037e-12	3.4819513370803716e-11	3.468135137473185e-11	1.333989626737541e-13	1.7366676759035177e-12	6.67978084950756e-15	6.461561439337738e-11	1.2051286824219409e-14	2.1783567656529708e-18	4.7630333980991834e-15	1.6658551313656902e-10	PNCA
50.0	4.672524875204879e-09	4.672849471815376e-09	4.672524875204878e-09	4.672524875204879e-09	4.420996011984836e-09	1.7678934716996412e-15	-8.082183605131185e-11	7.650147024492193e-12	3.3855052709802466e-10	3.2394079370825945e-10	1.4129203378585208e-11	7.33112362056049e-12	3.1892435475448053e-13	6.621387055436487e-11	5.573189969707489e-15	9.906575508800345e-17	4.805300111799318e-13	1.7070702716938366e-10	PNCA
50.0	4.614858340059268e-09	4.614927572063131e-09	4.614858340059276e-09	4.614858340059267e-09	4.3824895152279e-09	2.6819461582415423e-18	-6.525330893170623e-11	3.595616440911289e-12	3.4930093054443165e-11	3.4498013923811626e-11	4.310776841938866e-13	3.5512403847518717e-12	4.437510003985612e-14	6.482123230418076e-11	2.4855962067022672e-14	9.415582010721544e-19	1.0014464376531337e-15	1.6711551607850214e-10	PNCA
50.0	4.579626956402807e-09	4.579628141546227e-09	4.579626956402807e-09	4.579626956402807e-09	4.348240730116986e-09	1.4565140668845778e-17	-6.486482314720625e-11	8.016522314617563e-14	3.480614920965439e-11	3.4532076040692173e-11	2.7396224455543987e-13	7.953434534409738e-14	6.30989990558605e-16	6.459076451829945e-11	5.541503231823412e-16	2.3334285860770227e-21	1.1092440678087126e-16	1.6652140316370054e-10	PNCA
50.0	4.589575198821769e-09	4.589578075165653e-09	4.589575198821765e-09	4.589575198821768e-09	4.357815488074678e-09	7.59153058484281e-17	-6.477811275597122e-11	5.29908383892816e-13	4.605952508929744e-11	4.6050607400769466e-11	8.743979701220932e-15	5.298162272382939e-13	1.0060014766177065e-16	6.476927098836475e-11	2.775725499491595e-15	1.8253536094882333e-20	1.7370882675805384e-16	1.6698159798550532e-10	PNCA
