temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway	objective
60.0	7.787062094808698e-10	9.564610672824675e-10	7.787062094808697e-10	7.787062094808695e-10	9.209725856180029e-13	8.615079629819997e-17	-5.011789945477946e-11	1.2135662577706732e-16	2.076891361865795e-19	2.9352044228811384e-22	3.9245206393404154e-24	8.345951243624907e-18	1.1159133060406735e-19	5.011798539818013e-11	1.7775474479092315e-10	1.1289908310432944e-16	2.0739169122365212e-19	7.276673374404722e-10	PNCA	min_ratio
60.0	7.120164328380073e-06	7.12030926145952e-06	7.120164328380075e-06	7.120164328380075e-06	7.1192412013429605e-06	6.496512046603734e-18	-2.1937104965217886e-10	1.62101127461372e-11	1.4729499648029089e-13	1.4707168806540215e-13	5.784492007276757e-17	1.620339059283826e-11	6.373257970488744e-15	2.1937083284041708e-10	1.4492635716785055e-10	3.4902273598199935e-16	1.6546349481595399e-16	7.037559874601248e-10	PNCA	min_ratio
60.0	5.181699541828905e-09	5.347524539260853e-09	5.181699541828904e-09	5.181699541828905e-09	4.345591790765219e-09	1.3641153680621012e-16	-1.7354599169057143e-10	1.1359919982582785e-16	7.183145561069967e-19	1.4419957140943358e-22	7.181195448716598e-19	2.280399588221118e-20	1.135647976235352e-16	1.7354612738393775e-10	1.6582488385555475e-10	1.5383870298672717e-22	5.081166392788766e-23	6.62561759373113e-10	PNCA	min_ratio
60.0	4.078506567708119e-07	4.0800610413834527e-07	4.078506569402663e-07	4.0785065694040455e-07	4.067986469997871e-07	6.508943360551683e-16	-2.497135646639364e-10	1.0680789277818926e-16	1.0328140109877654e-18	1.0328076275638216e-18	1.2434467849542245e-30	-3.282861534005647e-15	-3.952394919209267e-27	2.4971419605209855e-10	1.554473675562773e-10	-3.8845609026430415e-22	6.3834226136565415e-24	8.022962265354915e-10	PNCA	min_ratio
60.0	1.860568724828991e-05	1.8605731790875773e-05	1.8605687248289973e-05	1.8605687248289902e-05	1.8604745440356862e-05	1.6194719244997177e-15	-2.2382357657866764e-10	7.911589578155666e-11	2.31732917346348e-12	2.316852606880409e-12	5.275288184400793e-19	7.911556555767991e-11	1.801468654731828e-17	2.238247195708191e-10	4.454225662031073e-11	3.1122777744925183e-16	4.760390542525644e-16	7.179843563774234e-10	PNCA	min_ratio
60.0	1.1028121596372125e-06	1.1028544632752249e-06	1.1028121596371988e-06	1.1028121596372125e-06	1.101899791140876e-06	2.4645453166287714e-16	-2.1682757824135939e-10	3.0044580161895186e-17	8.970825348573688e-19	1.244029504868297e-24	1.7450745371065075e-20	1.0899243271312613e-21	1.5289049116496392e-17	2.1682782379213791e-10	4.230360796871409e-11	1.4754415397447444e-17	8.796305454567987e-19	6.955409181017934e-10	PNCA	min_ratio
60.0	3.1778934086496584e-09	3.177917849781926e-09	3.177893408649849e-09	3.1778934086496568e-09	8.204184553167308e-10	1.5271626331146318e-18	-5.603656058552208e-10	9.76298978139305e-16	1.3363616930125651e-13	4.2997003296338953e-20	1.3362700910094063e-13	3.1415052744564225e-22	9.763237256063179e-16	5.602319741565175e-10	2.3464833604125865e-14	1.2753119914351165e-21	9.117203312594022e-18	1.7971093445772678e-09	PNCA	min_ratio
60.0	8.201619849321067e-09	8.21876414938539e-09	8.201619849318658e-09	8.201619849321067e-09	5.893180803807621e-09	1.1937180032586769e-18	-5.648100850907333e-10	1.4950106410875707e-11	2.125011572314044e-11	1.7313719957691466e-19	2.0894689292981286e-11	1.2387002180218425e-19	1.494523917439412e-11	5.435599705529255e-10	2.194193777319732e-12	4.867112868548184e-15	3.554262570219576e-13	1.7436289606042352e-09	PNCA	min_ratio
60.0	5.9420829950892756e-09	6.116139292901295e-09	5.942082995089275e-09	5.942082995089274e-09	5.046978314012056e-09	4.417483070553035e-16	-1.8856235717354562e-10	6.53345210457882e-15	4.2860699341716293e-17	5.804233575831788e-22	3.301623006111763e-17	1.1420325450904722e-19	6.496256375113969e-15	1.8856275606173381e-10	1.7404976447411858e-10	3.70815251949844e-17	9.84388885724108e-18	7.06542323903675e-10	PNCA	min_ratio
60.0	7.674853177741271e-10	9.463951116235466e-10	7.674853177741272e-10	7.674853177741273e-10	3.4281079061694e-14	2.1354423211382885e-17	-4.8379295204171064e-11	1.221048129311007e-16	2.004874709349929e-19	6.706512458345538e-24	3.905226529626098e-26	2.1297676868630428e-19	1.2401910219634468e-21	4.83793163581135e-11	1.7890967195758293e-10	1.218905961900345e-16	2.0048072537026931e-19	7.190717414908943e-10	PNCA	min_ratio
